"","Time","Cycle","Phase","Cell_types","Density","Host","Genotype"
"412",0.58,1,"conj","F2",14155486.7084187,"2","F"
"413",0.58,1,"conj","C",991527806.906333,"C","C"
"414",0.59,1,"conj","A1",131968.784527469,"1","A"
"415",0.59,1,"conj","M1",14373461.9138182,"1","M"
"416",0.59,1,"conj","F1",0,"1","F"
"417",0.59,1,"conj","A2",2.23899572219676,"2","A"
"418",0.59,1,"conj","M2",1.65665870184062,"2","M"
"419",0.59,1,"conj","F2",14240552.5072957,"2","F"
"420",0.59,1,"conj","C",991354012.898704,"C","C"
"421",0.6,1,"conj","A1",132590.682721697,"1","A"
"422",0.6,1,"conj","M1",14462114.325698,"1","M"
"423",0.6,1,"conj","F1",0,"1","F"
"424",0.6,1,"conj","A2",2.29494410363375,"2","A"
"425",0.6,1,"conj","M2",1.7005151783822,"2","M"
"426",0.6,1,"conj","F2",14326129.3492703,"2","F"
"427",0.6,1,"conj","C",991179161.646851,"C","C"
"428",0.61,1,"conj","A1",133215.510488253,"1","A"
"429",0.61,1,"conj","M1",14551313.3693859,"1","M"
"430",0.61,1,"conj","F1",0,"1","F"
"431",0.61,1,"conj","A2",2.3516440670285,"2","A"
"432",0.61,1,"conj","M2",1.74505294273579,"2","M"
"433",0.61,1,"conj","F2",14412220.3026209,"2","F"
"434",0.61,1,"conj","C",991003246.720808,"C","C"
"435",0.62,1,"conj","A1",133843.281615147,"1","A"
"436",0.62,1,"conj","M1",14641062.4134328,"1","M"
"437",0.62,1,"conj","F1",0,"1","F"
"438",0.62,1,"conj","A2",2.40910439634989,"2","A"
"439",0.62,1,"conj","M2",1.79028121170214,"2","M"
"440",0.62,1,"conj","F2",14498828.4540244,"2","F"
"441",0.62,1,"conj","C",990826261.651542,"C","C"
"442",0.63,1,"conj","A1",134474.009955148,"1","A"
"443",0.63,1,"conj","M1",14731364.8471228,"1","M"
"444",0.63,1,"conj","F1",0,"1","F"
"445",0.63,1,"conj","A2",2.46733397324887,"2","A"
"446",0.63,1,"conj","M2",1.83620932011723,"2","M"
"447",0.63,1,"conj","F2",14585956.9086654,"2","F"
"448",0.63,1,"conj","C",990648199.930713,"C","C"
"449",0.64,1,"conj","A1",135107.709426077,"1","A"
