SetID,SweepID,gamma_fold,psi_change,gamma_M,psi_M
pHFC_S.pB10-high,51,-2.2,-0.38,9.842934573891011e-15,0.010000000000000009
pHFC_S.pB10-high,52,-2,-0.38,1.56e-14,0.010000000000000009
pHFC_S.pB10-high,53,-1.7999999999999998,-0.38,2.4724333802393382e-14,0.010000000000000009
pHFC_S.pB10-high,54,-1.5999999999999996,-0.38,3.918542833154948e-14,0.010000000000000009
pHFC_S.pB10-high,55,-1.4,-0.38,6.210471860634558e-14,0.010000000000000009
pHFC_S.pB10-high,56,-1.1999999999999997,-0.38,9.84293457389102e-14,0.010000000000000009
pHFC_S.pB10-high,57,-1,-0.38,1.5600000000000002e-13,0.010000000000000009
pHFC_S.pB10-high,58,-0.7999999999999998,-0.38,2.472433380239338e-13,0.010000000000000009
pHFC_S.pB10-high,59,-0.5999999999999996,-0.38,3.9185428331549487e-13,0.010000000000000009
pHFC_S.pB10-high,60,-0.3999999999999999,-0.38,6.210471860634558e-13,0.010000000000000009
pHFC_S.pB10-high,61,-0.19999999999999973,-0.38,9.84293457389102e-13,0.010000000000000009
pHFC_S.pB10-high,62,0,-0.38,1.56e-12,0.010000000000000009
pHFC_S.pB10-high,63,0.20000000000000018,-0.38,2.472433380239338e-12,0.010000000000000009
pHFC_S.pB10-high,64,0.40000000000000036,-0.38,3.918542833154948e-12,0.010000000000000009
pHFC_S.pB10-high,65,0.6000000000000005,-0.38,6.210471860634565e-12,0.010000000000000009
pHFC_S.pB10-high,66,0.8000000000000007,-0.38,9.842934573891032e-12,0.010000000000000009
pHFC_S.pB10-high,67,1,-0.38,1.56e-11,0.010000000000000009
pHFC_S.pB10-high,68,1.2000000000000002,-0.38,2.4724333802393383e-11,0.010000000000000009
pHFC_S.pB10-high,69,1.4000000000000004,-0.38,3.918542833154948e-11,0.010000000000000009
pHFC_S.pB10-high,70,1.6000000000000005,-0.38,6.210471860634565e-11,0.010000000000000009
pHFC_S.pB10-high,71,1.8000000000000007,-0.38,9.842934573891031e-11,0.010000000000000009
pHFC_S.pB10-high,72,2,-0.38,1.56e-10,0.010000000000000009
pHFC_S.pB10-high,73,2.2,-0.38,2.472433380239338e-10,0.010000000000000009
pHFC_S.pB10-high,74,2.4000000000000004,-0.38,3.918542833154948e-10,0.010000000000000009
pHFC_S.pB10-high,75,2.6000000000000005,-0.38,6.210471860634565e-10,0.010000000000000009
pHFC_S.pB10-high,76,2.8000000000000007,-0.38,9.84293457389103e-10,0.010000000000000009
pHFC_S.pB10-high,77,3,-0.38,1.56e-9,0.010000000000000009
pHFC_S.pB10-high,78,3.2,-0.38,2.4724333802393378e-9,0.010000000000000009
pHFC_S.pB10-high,79,3.4000000000000004,-0.38,3.918542833154948e-9,0.010000000000000009
pHFC_S.pB10-high,80,3.6000000000000005,-0.38,6.2104718606345645e-9,0.010000000000000009
pHFC_S.pB10-high,81,3.8000000000000007,-0.38,9.842934573891031e-9,0.010000000000000009
pHFC_S.pB10-high,82,4,-0.38,1.56e-8,0.010000000000000009
pHFC_S.pB10-high,83,-4,-0.36000000000000004,1.5600000000000002e-16,0.02999999999999997
pHFC_S.pB10-high,84,-3.8,-0.36000000000000004,2.472433380239338e-16,0.02999999999999997
pHFC_S.pB10-high,85,-3.6,-0.36000000000000004,3.918542833154944e-16,0.02999999999999997
pHFC_S.pB10-high,86,-3.4,-0.36000000000000004,6.210471860634559e-16,0.02999999999999997
pHFC_S.pB10-high,87,-3.2,-0.36000000000000004,9.84293457389101e-16,0.02999999999999997
pHFC_S.pB10-high,88,-3,-0.36000000000000004,1.5600000000000001e-15,0.02999999999999997
pHFC_S.pB10-high,89,-2.8,-0.36000000000000004,2.472433380239338e-15,0.02999999999999997
pHFC_S.pB10-high,90,-2.5999999999999996,-0.36000000000000004,3.918542833154948e-15,0.02999999999999997
pHFC_S.pB10-high,91,-2.4,-0.36000000000000004,6.210471860634559e-15,0.02999999999999997
pHFC_S.pB10-high,92,-2.2,-0.36000000000000004,9.842934573891011e-15,0.02999999999999997
pHFC_S.pB10-high,93,-2,-0.36000000000000004,1.56e-14,0.02999999999999997
pHFC_S.pB10-high,94,-1.7999999999999998,-0.36000000000000004,2.4724333802393382e-14,0.02999999999999997
pHFC_S.pB10-high,95,-1.5999999999999996,-0.36000000000000004,3.918542833154948e-14,0.02999999999999997
pHFC_S.pB10-high,96,-1.4,-0.36000000000000004,6.210471860634558e-14,0.02999999999999997
pHFC_S.pB10-high,97,-1.1999999999999997,-0.36000000000000004,9.84293457389102e-14,0.02999999999999997
pHFC_S.pB10-high,98,-1,-0.36000000000000004,1.5600000000000002e-13,0.02999999999999997
pHFC_S.pB10-high,99,-0.7999999999999998,-0.36000000000000004,2.472433380239338e-13,0.02999999999999997
pHFC_S.pB10-high,100,-0.5999999999999996,-0.36000000000000004,3.9185428331549487e-13,0.02999999999999997
pHFC_S.pB10-high,101,-0.3999999999999999,-0.36000000000000004,6.210471860634558e-13,0.02999999999999997
pHFC_S.pB10-high,102,-0.19999999999999973,-0.36000000000000004,9.84293457389102e-13,0.02999999999999997
pHFC_S.pB10-high,103,0,-0.36000000000000004,1.56e-12,0.02999999999999997
pHFC_S.pB10-high,104,0.20000000000000018,-0.36000000000000004,2.472433380239338e-12,0.02999999999999997
pHFC_S.pB10-high,105,0.40000000000000036,-0.36000000000000004,3.918542833154948e-12,0.02999999999999997
pHFC_S.pB10-high,106,0.6000000000000005,-0.36000000000000004,6.210471860634565e-12,0.02999999999999997
pHFC_S.pB10-high,107,0.8000000000000007,-0.36000000000000004,9.842934573891032e-12,0.02999999999999997
pHFC_S.pB10-high,108,1,-0.36000000000000004,1.56e-11,0.02999999999999997
