SetID,SweepID,gamma_fold,psi_change,gamma_M,psi_M
pHFC_S.pB10-low,229,0.6000000000000005,-0.30000000000000004,6.409525445911313e-14,-0.010000000000000064
pHFC_S.pB10-low,230,0.8000000000000007,-0.30000000000000004,1.0158413246131127e-13,-0.010000000000000064
pHFC_S.pB10-low,231,1,-0.30000000000000004,1.61e-13,-0.010000000000000064
pHFC_S.pB10-low,232,1.2000000000000002,-0.30000000000000004,2.5516780398623937e-13,-0.010000000000000064
pHFC_S.pB10-low,233,1.4000000000000004,-0.30000000000000004,4.044137154730427e-13,-0.010000000000000064
pHFC_S.pB10-low,234,1.6000000000000005,-0.30000000000000004,6.409525445911314e-13,-0.010000000000000064
pHFC_S.pB10-low,235,1.8000000000000007,-0.30000000000000004,1.0158413246131127e-12,-0.010000000000000064
pHFC_S.pB10-low,236,2,-0.30000000000000004,1.6099999999999998e-12,-0.010000000000000064
pHFC_S.pB10-low,237,2.2,-0.30000000000000004,2.551678039862394e-12,-0.010000000000000064
pHFC_S.pB10-low,238,2.4000000000000004,-0.30000000000000004,4.044137154730427e-12,-0.010000000000000064
pHFC_S.pB10-low,239,2.6000000000000005,-0.30000000000000004,6.409525445911313e-12,-0.010000000000000064
pHFC_S.pB10-low,240,2.8000000000000007,-0.30000000000000004,1.0158413246131126e-11,-0.010000000000000064
pHFC_S.pB10-low,241,3,-0.30000000000000004,1.6099999999999998e-11,-0.010000000000000064
pHFC_S.pB10-low,242,3.2,-0.30000000000000004,2.5516780398623935e-11,-0.010000000000000064
pHFC_S.pB10-low,243,3.4000000000000004,-0.30000000000000004,4.0441371547304267e-11,-0.010000000000000064
pHFC_S.pB10-low,244,3.6000000000000005,-0.30000000000000004,6.409525445911314e-11,-0.010000000000000064
pHFC_S.pB10-low,245,3.8000000000000007,-0.30000000000000004,1.0158413246131128e-10,-0.010000000000000064
pHFC_S.pB10-low,246,4,-0.30000000000000004,1.6099999999999999e-10,-0.010000000000000064
pHFC_S.pB10-low,247,-4,-0.28,1.61e-18,0.009999999999999953
pHFC_S.pB10-low,248,-3.8,-0.28,2.5516780398623938e-18,0.009999999999999953
pHFC_S.pB10-low,249,-3.6,-0.28,4.044137154730423e-18,0.009999999999999953
pHFC_S.pB10-low,250,-3.4,-0.28,6.409525445911307e-18,0.009999999999999953
pHFC_S.pB10-low,251,-3.2,-0.28,1.0158413246131107e-17,0.009999999999999953
pHFC_S.pB10-low,252,-3,-0.28,1.61e-17,0.009999999999999953
pHFC_S.pB10-low,253,-2.8,-0.28,2.5516780398623936e-17,0.009999999999999953
pHFC_S.pB10-low,254,-2.5999999999999996,-0.28,4.044137154730427e-17,0.009999999999999953
pHFC_S.pB10-low,255,-2.4,-0.28,6.409525445911307e-17,0.009999999999999953
pHFC_S.pB10-low,256,-2.2,-0.28,1.0158413246131107e-16,0.009999999999999953
pHFC_S.pB10-low,257,-2,-0.28,1.61e-16,0.009999999999999953
