"","Time","Cycle","Phase","Cell_types","Density","Host","Genotype"
"305",0.43,1,"conj","A2",4.91032892874857,"2","A"
"306",0.43,1,"conj","M2",0,"2","M"
"307",0.43,1,"conj","F2",11603821.8782303,"2","F"
"308",0.43,1,"conj","C",996580658.927469,"C","C"
"309",0.44,1,"conj","A1",113445.632035996,"1","A"
"310",0.44,1,"conj","M1",11847964.7364715,"1","M"
"311",0.44,1,"conj","F1",0,"1","F"
"312",0.44,1,"conj","A2",5.04788880226701,"2","A"
"313",0.44,1,"conj","M2",0,"2","M"
"314",0.44,1,"conj","F2",11644031.6337492,"2","F"
"315",0.44,1,"conj","C",996494552.173712,"C","C"
"316",0.45,1,"conj","A1",113771.355674279,"1","A"
"317",0.45,1,"conj","M1",11893712.7098968,"1","M"
"318",0.45,1,"conj","F1",0,"1","F"
"319",0.45,1,"conj","A2",5.18662704701407,"2","A"
"320",0.45,1,"conj","M2",0,"2","M"
"321",0.45,1,"conj","F2",11684380.6897112,"2","F"
"322",0.45,1,"conj","C",996408129.259829,"C","C"
"323",0.46,1,"conj","A1",114098.014244582,"1","A"
"324",0.46,1,"conj","M1",11939637.2881847,"1","M"
"325",0.46,1,"conj","F1",0,"1","F"
"326",0.46,1,"conj","A2",5.32655201569392,"2","A"
"327",0.46,1,"conj","M2",0,"2","M"
"328",0.46,1,"conj","F2",11724869.5284446,"2","F"
"329",0.46,1,"conj","C",996321389.021967,"C","C"
"330",0.47,1,"conj","A1",114425.610428568,"1","A"
"331",0.47,1,"conj","M1",11985739.1527926,"1","M"
"332",0.47,1,"conj","F1",0,"1","F"
"333",0.47,1,"conj","A2",5.4676721164996,"2","A"
"334",0.47,1,"conj","M2",0,"2","M"
"335",0.47,1,"conj","F2",11765498.6339459,"2","F"
"336",0.47,1,"conj","C",996234330.291982,"C","C"
"337",0.48,1,"conj","A1",114754.146915578,"1","A"
"338",0.48,1,"conj","M1",12032018.9878052,"1","M"
"339",0.48,1,"conj","F1",0,"1","F"
"340",0.48,1,"conj","A2",5.60999581347186,"2","A"
"341",0.48,1,"conj","M2",0,"2","M"
"342",0.48,1,"conj","F2",11806268.4918854,"2","F"
"343",0.48,1,"conj","C",996146951.897417,"C","C"
"344",0.49,1,"conj","A1",115083.626402656,"1","A"
"345",0.49,1,"conj","M1",12078477.4799444,"1","M"
"346",0.49,1,"conj","F1",0,"1","F"
"347",0.49,1,"conj","A2",5.75353162686043,"2","A"
"348",0.49,1,"conj","M2",0,"2","M"
"349",0.49,1,"conj","F2",11847179.5896131,"2","F"
"350",0.49,1,"conj","C",996059252.661493,"C","C"
"351",0.5,1,"conj","A1",115414.051594566,"1","A"
"352",0.5,1,"conj","M1",12125115.3185791,"1","M"
"353",0.5,1,"conj","F1",0,"1","F"
"354",0.5,1,"conj","A2",5.89828813348753,"2","A"
"355",0.5,1,"conj","M2",0,"2","M"
"356",0.5,1,"conj","F2",11888232.4161646,"2","F"
"357",0.5,1,"conj","C",995971231.403092,"C","C"
"358",0.51,1,"conj","A1",115745.425203819,"1","A"
"359",0.51,1,"conj","M1",12171933.1957363,"1","M"
"360",0.51,1,"conj","F1",0,"1","F"
"361",0.51,1,"conj","A2",6.04427396711369,"2","A"
"362",0.51,1,"conj","M2",0,"2","M"
"363",0.51,1,"conj","F2",11929427.4622666,"2","F"
"364",0.51,1,"conj","C",995882886.936735,"C","C"
"365",0.52,1,"conj","A1",116077.749950692,"1","A"
"366",0.52,1,"conj","M1",12218931.8061106,"1","M"
"367",0.52,1,"conj","F1",0,"1","F"
"368",0.52,1,"conj","A2",6.19149781880597,"2","A"
"369",0.52,1,"conj","M2",0,"2","M"
"370",0.52,1,"conj","F2",11970765.2203432,"2","F"
"371",0.52,1,"conj","C",995794218.072574,"C","C"
"372",0.53,1,"conj","A1",116411.02856325,"1","A"
"373",0.53,1,"conj","M1",12266111.8470744,"1","M"
"374",0.53,1,"conj","F1",0,"1","F"
"375",0.53,1,"conj","A2",6.33996843730846,"2","A"
"376",0.53,1,"conj","M2",0,"2","M"
"377",0.53,1,"conj","F2",12012246.1845213,"2","F"
"378",0.53,1,"conj","C",995705223.61637,"C","C"
"379",0.54,1,"conj","A1",116745.263777372,"1","A"
"380",0.54,1,"conj","M1",12313474.0186888,"1","M"
"381",0.54,1,"conj","F1",0,"1","F"
"382",0.54,1,"conj","A2",6.48969462941521,"2","A"
"383",0.54,1,"conj","M2",1.00772370996394,"2","M"
"384",0.54,1,"conj","F2",12053870.8506367,"2","F"
"385",0.54,1,"conj","C",995615902.369479,"C","C"
"386",0.55,1,"conj","A1",117080.458336766,"1","A"
"387",0.55,1,"conj","M1",12361019.0237134,"1","M"
"388",0.55,1,"conj","F1",0,"1","F"
"389",0.55,1,"conj","A2",6.64068526034549,"2","A"
"390",0.55,1,"conj","M2",1.03218761966749,"2","M"
"391",0.55,1,"conj","F2",12095639.71624,"2","F"
"392",0.55,1,"conj","C",995526253.128837,"C","C"
"393",0.56,1,"conj","A1",117416.614993,"1","A"
"394",0.56,1,"conj","M1",12408747.5676171,"1","M"
"395",0.56,1,"conj","F1",0,"1","F"
"396",0.56,1,"conj","A2",6.7929492541215,"2","A"
"397",0.56,1,"conj","M2",1.05689696806793,"2","M"
"398",0.56,1,"conj","F2",12137553.2806025,"2","F"
"399",0.56,1,"conj","C",995436274.686941,"C","C"
"400",0.57,1,"conj","A1",117753.736505519,"1","A"
"401",0.57,1,"conj","M1",12456660.3585881,"1","M"
"402",0.57,1,"conj","F1",0,"1","F"
"403",0.57,1,"conj","A2",6.94649559394841,"2","A"
"404",0.57,1,"conj","M2",1.08185381050025,"2","M"
"405",0.57,1,"conj","F2",12179612.044722,"2","F"
"406",0.57,1,"conj","C",995345965.831835,"C","C"
"407",0.58,1,"conj","A1",118091.825641667,"1","A"
"408",0.58,1,"conj","M1",12504758.1075447,"1","M"
"409",0.58,1,"conj","F1",0,"1","F"
"410",0.58,1,"conj","A2",7.10133332259695,"2","A"
"411",0.58,1,"conj","M2",1.10706021835821,"2","M"
"412",0.58,1,"conj","F2",12221816.511329,"2","F"
"413",0.58,1,"conj","C",995255325.347091,"C","C"
"414",0.59,1,"conj","A1",118430.885176713,"1","A"
"415",0.59,1,"conj","M1",12553041.5281455,"1","M"
"416",0.59,1,"conj","F1",0,"1","F"
"417",0.59,1,"conj","A2",7.25747154278833,"2","A"
"418",0.59,1,"conj","M2",1.1325182792159,"2","M"
"419",0.59,1,"conj","F2",12264167.1848925,"2","F"
"420",0.59,1,"conj","C",995164352.011796,"C","C"
"421",0.6,1,"conj","A1",118770.917893871,"1","A"
"422",0.6,1,"conj","M1",12601511.3368004,"1","M"
"423",0.6,1,"conj","F1",0,"1","F"
"424",0.6,1,"conj","A2",7.41491941758168,"2","A"
"425",0.6,1,"conj","M2",1.15823009695017,"2","M"
"426",0.6,1,"conj","F2",12306664.5716259,"2","F"
"427",0.6,1,"conj","C",995073044.600531,"C","C"
"428",0.61,1,"conj","A1",119111.926584323,"1","A"
"429",0.61,1,"conj","M1",12650168.2526807,"1","M"
"430",0.61,1,"conj","F1",0,"1","F"
"431",0.61,1,"conj","A2",7.57368617076392,"2","A"
"432",0.61,1,"conj","M2",1.18419779186401,"2","M"
"433",0.61,1,"conj","F2",12349309.1794933,"2","F"
"434",0.61,1,"conj","C",994981401.883358,"C","C"
"435",0.62,1,"conj","A1",119453.914047243,"1","A"
"436",0.62,1,"conj","M1",12699012.99773,"1","M"
"437",0.62,1,"conj","F1",0,"1","F"
"438",0.62,1,"conj","A2",7.7337810872422,"2","A"
"439",0.62,1,"conj","M2",1.21042350081076,"2","M"
"440",0.62,1,"conj","F2",12392101.5182155,"2","F"
"441",0.62,1,"conj","C",994889422.625803,"C","C"
"442",0.63,1,"conj","A1",119796.883089819,"1","A"
"443",0.63,1,"conj","M1",12748046.2966747,"1","M"
"444",0.63,1,"conj","F1",0,"1","F"
"445",0.63,1,"conj","A2",7.89521351343873,"2","A"
"446",0.63,1,"conj","M2",1.23690937731937,"2","M"
"447",0.63,1,"conj","F2",12435042.0992756,"2","F"
"448",0.63,1,"conj","C",994797105.588837,"C","C"
"449",0.64,1,"conj","A1",120140.836527276,"1","A"
"450",0.64,1,"conj","M1",12797268.8770349,"1","M"
"451",0.64,1,"conj","F1",0,"1","F"
"452",0.64,1,"conj","A2",8.05799285768827,"2","A"
"453",0.64,1,"conj","M2",1.26365759172049,"2","M"
"454",0.64,1,"conj","F2",12478131.4359259,"2","F"
"455",0.64,1,"conj","C",994704449.528862,"C","C"
"456",0.65,1,"conj","A1",120485.777182896,"1","A"
"457",0.65,1,"conj","M1",12846681.4691351,"1","M"
"458",0.65,1,"conj","F1",0,"1","F"
"459",0.65,1,"conj","A2",8.22212859063799,"2","A"
"460",0.65,1,"conj","M2",1.29067033127353,"2","M"
"461",0.65,1,"conj","F2",12521370.0431931,"2","F"
"462",0.65,1,"conj","C",994611453.19769,"C","C"
"463",0.66,1,"conj","A1",120831.707888047,"1","A"
"464",0.66,1,"conj","M1",12896284.8061149,"1","M"
"465",0.66,1,"conj","F1",0,"1","F"
"466",0.66,1,"conj","A2",8.38763024565008,"2","A"
"467",0.66,1,"conj","M2",1.31794980029472,"2","M"
"468",0.66,1,"conj","F2",12564758.4378851,"2","F"
"469",0.66,1,"conj","C",994518115.342532,"C","C"
"470",0.67,1,"conj","A1",121178.6314822,"1","A"
"471",0.67,1,"conj","M1",12946079.6239396,"1","M"
"472",0.67,1,"conj","F1",0,"1","F"
"473",0.67,1,"conj","A2",8.55450741920673,"2","A"
"474",0.67,1,"conj","M2",1.34549822028602,"2","M"
"475",0.67,1,"conj","F2",12608297.1385968,"2","F"
"476",0.67,1,"conj","C",994424434.705976,"C","C"
"477",0.68,1,"conj","A1",121526.550812958,"1","A"
"478",0.68,1,"conj","M1",12996066.6614118,"1","M"
"479",0.68,1,"conj","F1",0,"1","F"
"480",0.68,1,"conj","A2",8.72276977131786,"2","A"
"481",0.68,1,"conj","M2",1.37331783006509,"2","M"
"482",0.68,1,"conj","F2",12651986.6657165,"2","F"
"483",0.68,1,"conj","C",994330410.025971,"C","C"
"484",0.69,1,"conj","A1",121875.468736072,"1","A"
"485",0.69,1,"conj","M1",13046246.6601815,"1","M"
"486",0.69,1,"conj","F1",0,"1","F"
"487",0.69,1,"conj","A2",8.89242702593137,"2","A"
"488",0.69,1,"conj","M2",1.40141088589613,"2","M"
"489",0.69,1,"conj","F2",12695827.5414317,"2","F"
"490",0.69,1,"conj","C",994236040.035813,"C","C"
"491",0.7,1,"conj","A1",122225.388115471,"1","A"
"492",0.7,1,"conj","M1",13096620.3647575,"1","M"
"493",0.7,1,"conj","F1",0,"1","F"
"494",0.7,1,"conj","A2",9.063488971346,"2","A"
"495",0.7,1,"conj","M2",1.42977966162182,"2","M"
"496",0.7,1,"conj","F2",12739820.2897356,"2","F"
"497",0.7,1,"conj","C",994141323.464123,"C","C"
