"","Time","Cycle","Phase","Cell_types","Density","Host","Genotype"
"391",0.55,1,"conj","F2",12095646.6473946,"2","F"
"392",0.55,1,"conj","C",995543332.913325,"C","C"
"393",0.56,1,"conj","A1",1.17416616552845,"1","A"
"394",0.56,1,"conj","M1",12408747.7890886,"1","M"
"395",0.56,1,"conj","F1",0,"1","F"
"396",0.56,1,"conj","A2",0,"2","A"
"397",0.56,1,"conj","M2",1.05689737948493,"2","M"
"398",0.56,1,"conj","F2",12137560.3761224,"2","F"
"399",0.56,1,"conj","C",995453690.603657,"C","C"
"400",0.57,1,"conj","A1",1.17753738128504,"1","A"
"401",0.57,1,"conj","M1",12456660.589252,"1","M"
"402",0.57,1,"conj","F1",0,"1","F"
"403",0.57,1,"conj","A2",0,"2","A"
"404",0.57,1,"conj","M2",1.08185424042503,"2","M"
"405",0.57,1,"conj","F2",12179619.3061892,"2","F"
"406",0.57,1,"conj","C",995363718.845098,"C","C"
"407",0.58,1,"conj","A1",1.18091827329292,"1","A"
"408",0.58,1,"conj","M1",12504758.3476322,"1","M"
"409",0.58,1,"conj","F1",0,"1","F"
"410",0.58,1,"conj","A2",0,"2","A"
"411",0.58,1,"conj","M2",1.10706066734181,"2","M"
"412",0.58,1,"conj","F2",12221823.9403379,"2","F"
"413",0.58,1,"conj","C",995273416.42398,"C","C"
"414",0.59,1,"conj","A1",1.18430886930492,"1","A"
"415",0.59,1,"conj","M1",12553041.7778906,"1","M"
"416",0.59,1,"conj","F1",0,"1","F"
"417",0.59,1,"conj","A2",0,"2","A"
"418",0.59,1,"conj","M2",1.13251874781949,"2","M"
"419",0.59,1,"conj","F2",12264174.7830499,"2","F"
"420",0.59,1,"conj","C",995182782.122159,"C","C"
"421",0.6,1,"conj","A1",1.18770919715333,"1","A"
"422",0.6,1,"conj","M1",12601511.59644,"1","M"
"423",0.6,1,"conj","F1",0,"1","F"
"424",0.6,1,"conj","A2",0,"2","A"
"425",0.6,1,"conj","M2",1.15823058574523,"2","M"
"426",0.6,1,"conj","F2",12306672.3405513,"2","F"
"427",0.6,1,"conj","C",995091814.716995,"C","C"
"428",0.61,1,"conj","A1",1.19111928475014,"1","A"
"429",0.61,1,"conj","M1",12650168.5224545,"1","M"
"430",0.61,1,"conj","F1",0,"1","F"
"431",0.61,1,"conj","A2",0,"2","A"
"432",0.61,1,"conj","M2",1.18419830143244,"2","M"
"433",0.61,1,"conj","F2",12349317.1208189,"2","F"
"434",0.61,1,"conj","C",995000512.981333,"C","C"
"435",0.62,1,"conj","A1",1.19453916008723,"1","A"
"436",0.62,1,"conj","M1",12699013.2778805,"1","M"
"437",0.62,1,"conj","F1",0,"1","F"
"438",0.62,1,"conj","A2",0,"2","A"
"439",0.62,1,"conj","M2",1.21042403174507,"2","M"
"440",0.62,1,"conj","F2",12392109.6335859,"2","F"
"441",0.62,1,"conj","C",994908875.683493,"C","C"
"442",0.63,1,"conj","A1",1.19796885123664,"1","A"
"443",0.63,1,"conj","M1",12748046.5874476,"1","M"
"444",0.63,1,"conj","F1",0,"1","F"
"445",0.63,1,"conj","A2",0,"2","A"
"446",0.63,1,"conj","M2",1.23690993022283,"2","M"
"447",0.63,1,"conj","F2",12435050.3903487,"2","F"
"448",0.63,1,"conj","C",994816901.587246,"C","C"
"449",0.64,1,"conj","A1",1.20140838635077,"1","A"
"450",0.64,1,"conj","M1",12797269.1786787,"1","M"
"451",0.64,1,"conj","F1",0,"1","F"
"452",0.64,1,"conj","A2",0,"2","A"
"453",0.64,1,"conj","M2",1.26365816720727,"2","M"
"454",0.64,1,"conj","F2",12478139.9043721,"2","F"
"455",0.64,1,"conj","C",994724589.451802,"C","C"
"456",0.65,1,"conj","A1",1.20485779366261,"1","A"
"457",0.65,1,"conj","M1",12846681.7819012,"1","M"
"458",0.65,1,"conj","F1",0,"1","F"
"459",0.65,1,"conj","A2",0,"2","A"
"460",0.65,1,"conj","M2",1.29067092996888,"2","M"
"461",0.65,1,"conj","F2",12521378.690696,"2","F"
"462",0.65,1,"conj","C",994631938.031792,"C","C"
"463",0.66,1,"conj","A1",1.20831710148599,"1","A"
"464",0.66,1,"conj","M1",12896285.1302577,"1","M"
"465",0.66,1,"conj","F1",0,"1","F"
"466",0.66,1,"conj","A2",0,"2","A"
"467",0.66,1,"conj","M2",1.31795042283511,"2","M"
"468",0.66,1,"conj","F2",12564767.2661414,"2","F"
"469",0.66,1,"conj","C",994538946.077249,"C","C"
"470",0.67,1,"conj","A1",1.2117863382158,"1","A"
"471",0.67,1,"conj","M1",12946079.9597167,"1","M"
"472",0.67,1,"conj","F1",0,"1","F"
"473",0.67,1,"conj","A2",0,"2","A"
"474",0.67,1,"conj","M2",1.34549886731933,"2","M"
"475",0.67,1,"conj","F2",12608306.1493165,"2","F"
"476",0.67,1,"conj","C",994445612.333596,"C","C"
"477",0.68,1,"conj","A1",1.2152655323282,"1","A"
"478",0.68,1,"conj","M1",12996067.0090837,"1","M"
"479",0.68,1,"conj","F1",0,"1","F"
"480",0.68,1,"conj","A2",0,"2","A"
"481",0.68,1,"conj","M2",1.37331850225074,"2","M"
