...1,Time,Cycle,Phase,Cell_types,Density,Host,Genotype,Genotype_plot
381,0.54,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
382,0.54,1,conj,A2,0,nalR,Ancestor,Ancestor
383,0.54,1,conj,M2,1.00772408597864,nalR,Mutant,Mutant
384,0.54,1,conj,F2,12053877.6189958,nalR,Plasmid-free,Plasmid-free
386,0.55,1,conj,A1,1.17080459834954,rifR,Ancestor,Ancestor
387,0.55,1,conj,M1,12361019.236221,rifR,Mutant,Mutant
388,0.55,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
389,0.55,1,conj,A2,0,nalR,Ancestor,Ancestor
390,0.55,1,conj,M2,1.0321880131177401,nalR,Mutant,Mutant
391,0.55,1,conj,F2,12095646.6473946,nalR,Plasmid-free,Plasmid-free
393,0.56,1,conj,A1,1.17416616552845,rifR,Ancestor,Ancestor
394,0.56,1,conj,M1,12408747.7890886,rifR,Mutant,Mutant
395,0.56,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
396,0.56,1,conj,A2,0,nalR,Ancestor,Ancestor
397,0.56,1,conj,M2,1.05689737948493,nalR,Mutant,Mutant
398,0.56,1,conj,F2,12137560.3761224,nalR,Plasmid-free,Plasmid-free
400,0.57,1,conj,A1,1.17753738128504,rifR,Ancestor,Ancestor
401,0.57,1,conj,M1,12456660.589252,rifR,Mutant,Mutant
402,0.57,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
403,0.57,1,conj,A2,0,nalR,Ancestor,Ancestor
404,0.57,1,conj,M2,1.08185424042503,nalR,Mutant,Mutant
405,0.57,1,conj,F2,12179619.3061892,nalR,Plasmid-free,Plasmid-free
407,0.58,1,conj,A1,1.18091827329292,rifR,Ancestor,Ancestor
408,0.58,1,conj,M1,12504758.3476322,rifR,Mutant,Mutant
409,0.58,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
410,0.58,1,conj,A2,0,nalR,Ancestor,Ancestor
411,0.58,1,conj,M2,1.10706066734181,nalR,Mutant,Mutant
412,0.58,1,conj,F2,12221823.9403379,nalR,Plasmid-free,Plasmid-free
414,0.59,1,conj,A1,1.18430886930492,rifR,Ancestor,Ancestor
415,0.59,1,conj,M1,12553041.7778906,rifR,Mutant,Mutant
416,0.59,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
417,0.59,1,conj,A2,0,nalR,Ancestor,Ancestor
418,0.59,1,conj,M2,1.13251874781949,nalR,Mutant,Mutant
419,0.59,1,conj,F2,12264174.7830499,nalR,Plasmid-free,Plasmid-free
421,0.6,1,conj,A1,1.18770919715333,rifR,Ancestor,Ancestor
422,0.6,1,conj,M1,12601511.59644,rifR,Mutant,Mutant
423,0.6,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
424,0.6,1,conj,A2,0,nalR,Ancestor,Ancestor
425,0.6,1,conj,M2,1.15823058574523,nalR,Mutant,Mutant
426,0.6,1,conj,F2,12306672.3405513,nalR,Plasmid-free,Plasmid-free
428,0.61,1,conj,A1,1.19111928475014,rifR,Ancestor,Ancestor
429,0.61,1,conj,M1,12650168.5224545,rifR,Mutant,Mutant
